row,address,directions
"73","360 Schermerhorn St, Brooklyn, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Flatbush Av-Brooklyn College — take the 5 Line toward Flatbush Av-Brooklyn College (7 stops), exit at Nevins St
Walk to 360 Schermerhorn St, Brooklyn, NY 11217, USA"
"74","2759 Webster Ave, Bronx, NY","Walk to 28 St
Subway towards 3 Av-138 St — take the 6 Train toward 3 Av-138 St (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Woodlawn — take the 4 Line toward Woodlawn (14 stops), exit at Kingsbridge Rd
Walk to Parking lot, 2759 Webster Ave, Bronx, NY 10458, USA"
"75","227 Bowery, New York, NY","Walk to 3 Avenue & East 23 Street
Bus towards City Hall via Lex Av — take the M103 toward City Hall via Lex Av (9 stops), exit at Bowery/Prince St
Walk to 227 Bowery, New York, NY 10002, USA"
"76","251 West 80th St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (6 stops), exit at West 23 St & 7 Avenue
Walk to 23 St
Subway towards Van Cortlandt Park-242 St — take the 1 Line toward Van Cortlandt Park-242 St (8 stops), exit at 79 St
Walk to 251 W 80th St, New York, NY 10024, USA"
"77","485 Hudson St, New York, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (5 stops), exit at W 23 St/6 Av
Walk to 23 St
Train towards Journal Square — take the PATH toward Journal Square (3 stops), exit at Christopher Street
Walk to 485 Hudson St, New York, NY 10014, USA"
"78","108 E 51st St, New York, NY","Walk to 28 St
Subway towards Pelham Bay Park — take the 6 Train toward Pelham Bay Park (3 stops), exit at 51 St"
"79","508 W 46th St, New York, NY","Walk to E 34 St/1 Av
Bus towards Select Bus Pa Bus Trm via 34 St Via 8 Av — take the M34A-SBS toward Select Bus Pa Bus Trm via 34 St Via 8 Av (11 stops), exit at W 43 St/8 Av
Walk to 508 W 46th St, New York, NY 10036, USA"
"80","2759 Webster Ave, Bronx, NY","Walk to 28 St
Subway towards 3 Av-138 St — take the 6 Train toward 3 Av-138 St (2 stops), exit at Grand Central-42 St
Walk to Grand Central-42 St
Subway towards Woodlawn — take the 4 Line toward Woodlawn (14 stops), exit at Kingsbridge Rd
Walk to Parking lot, 2759 Webster Ave, Bronx, NY 10458, USA"
"81","333 Hart St, Brooklyn, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (5 stops), exit at W 23 St/6 Av
Walk to 23 St
Subway towards Middle Village-Metropolitan Av — take the M Line toward Middle Village-Metropolitan Av (9 stops), exit at Myrtle Av
Walk to 333 Hart St, Brooklyn, NY 11206, USA"
"82","795 Lexington Ave, Brooklyn, NY","Walk to E 23 St / 1 Av
Bus towards Select Bus Chelsea Piers 12av Crosstown — take the M23-SBS toward Select Bus Chelsea Piers 12av Crosstown (5 stops), exit at W 23 St/6 Av
Walk to 23 St
Subway towards Coney Island-Stillwell Av — take the F Line toward Coney Island-Stillwell Av (5 stops), exit at Delancey St– Essex St
Walk to Delancey St– Essex St
Subway towards Jamaica Center-Parsons/Archer — take the J Train toward Jamaica Center-Parsons/Archer (3 stops), exit at Kosciuszko St
Walk to 795 Lexington Ave, Brooklyn, NY 11221, USA"
